rn1qkb1r/pp2nppp/2p1p3/3pP3/2PPb3/5N1P/PP1N1PP1/R1BQKB1R b KQkq - 2 7 ; Caro-Kann Advance ; games=56 ; white_score=0.6161
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/8/PPPNBPPP/R1BQK1NR w KQkq - 2 6 ; French Tarrasch ; games=55 ; white_score=0.6000
rnbqkbnr/pp3ppp/8/2pp4/P2P4/8/1PPN1PPP/R1BQKBNR b KQkq - 0 5 ; French Tarrasch ; games=55 ; white_score=0.4364
rnbqkbnr/pp3ppp/8/2pp4/3P4/7P/PPPN1PP1/R1BQKBNR b KQkq - 0 5 ; French Tarrasch ; games=54 ; white_score=0.5741
rnbqk1nr/pp3ppp/8/2bp4/8/1N6/PPP2PPP/R1BQKBNR b KQkq - 1 6 ; French Tarrasch ; games=52 ; white_score=0.4231
rnbqk1nr/bp3ppp/p7/3p4/P7/1N6/1PP2PPP/R1BQKBNR w KQkq - 2 8 ; French Tarrasch ; games=50 ; white_score=0.3400
rn2kb1r/pp1q1ppp/5n2/2pp4/3P4/7P/PPPN1PP1/R1BQK1NR w KQkq - 0 8 ; French Tarrasch ; games=48 ; white_score=0.5208
r1bqkbnr/pp3ppp/2n5/2pp4/3P4/P4N2/1PPN1PPP/R1BQKB1R b KQkq - 2 6 ; French Tarrasch ; games=46 ; white_score=0.5000
rnbqk1nr/1p3ppp/p7/2bp4/P7/1N6/1PP2PPP/R1BQKBNR b KQkq - 1 7 ; French Tarrasch ; games=40 ; white_score=0.4625
r1b1k2r/pp2nppp/2n1p3/q1ppP3/P2P4/2P2N2/2PB1PPP/R2QKB1R b KQkq - 4 9 ; French Winawer ; games=62 ; white_score=0.5968
rnbqk2r/p3nppp/1p2p3/2ppP3/P2P4/2P2N2/2P2PPP/R1BQKB1R b KQkq - 0 8 ; French Winawer ; games=54 ; white_score=0.5741
rnbqk2r/pp2nppp/4p3/2ppP3/3P4/P1P5/2P2PPP/1RBQKBNR b Kkq - 2 7 ; French Winawer ; games=49 ; white_score=0.5000
rnb1k2r/pp2nppp/4p3/q1ppP3/3P4/P1P5/2PB1PPP/1R1QKBNR b Kkq - 4 8 ; French Winawer ; games=47 ; white_score=0.7021
rnbqk2r/pp2nppp/4p3/2ppP3/3P4/P1P2N2/2P2PPP/R1BQKB1R b KQkq - 2 7 ; French Winawer ; games=34 ; white_score=0.6324
r1bqk2r/pp2nppp/2n1p3/2ppP3/P2P4/2P2N2/2P2PPP/R1BQKB1R b KQkq - 2 8 ; French Winawer ; games=33 ; white_score=0.5909
rnbqk2r/pp2ppbp/6p1/2p5/3PP3/2P1BN2/P4PPP/R2QKB1R b KQkq - 1 8 ; Grunfeld Defence ; games=54 ; white_score=0.5093
r1bqk2r/pppnppbp/6p1/8/Q2PP3/2P2N2/P4PPP/R1B1KB1R b KQkq - 4 8 ; Grunfeld Defence ; games=52 ; white_score=0.5577
rnbq1rk1/ppp1ppbp/6p1/8/3PP3/2P5/P3BPPP/1RBQK1NR b K - 4 8 ; Grunfeld Defence ; games=45 ; white_score=0.6000
rnbqk2r/ppp1ppbp/6p1/8/3PP3/2P1B3/P4PPP/R2QKBNR b KQkq - 2 7 ; Grunfeld Defence ; games=44 ; white_score=0.6136
rnbqk2r/ppp1ppbp/6p1/8/3PP3/2P2N2/P4PPP/R1BQKB1R b KQkq - 2 7 ; Grunfeld Defence ; games=42 ; white_score=0.5714
rnbqk2r/ppp1ppbp/6p1/8/3PP3/2P5/P4PPP/1RBQKBNR b Kkq - 2 7 ; Grunfeld Defence ; games=42 ; white_score=0.4643
rn1qk2r/pp2ppbp/6p1/2p5/3PP1b1/2P1BN2/P4PPP/2RQKB1R b Kkq - 3 9 ; Grunfeld Defence ; games=40 ; white_score=0.5125
r1bqk2r/ppp2ppp/1bnp1n2/4p3/PPB1P3/2PP1N2/5PPP/RNBQK2R b KQkq - 0 7 ; Italian Game ; games=57 ; white_score=0.5351
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQK2R b KQkq - 1 6 ; Italian Game ; games=52 ; white_score=0.6731
r1bqk2r/ppp2pp1/2np1n1p/2b1p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 b kq - 1 7 ; Italian Game ; games=50 ; white_score=0.4800
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b - - 3 7 ; Italian Game ; games=50 ; white_score=0.6500
r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/2B1P3/2PP1N1P/PP1N1PP1/R1BQ1RK1 b - - 0 8 ; Italian Game ; games=49 ; white_score=0.5306
r1bqk2r/ppp2ppp/2np1n2/2b1p3/P1B1P3/2PP1N2/1P3PPP/RNBQK2R b KQkq - 0 6 ; Italian Game ; games=49 ; white_score=0.5816
r1bqk2r/1pp2ppp/1bnp1n2/pP2p3/P1B1P3/2PP1N2/5PPP/RNBQK2R b KQkq - 0 8 ; Italian Game ; games=49 ; white_score=0.5408
r1bqk2r/1pp2pp1/p1np1n1p/2b1p3/4P3/1BPP1N2/PP3PPP/RNBQR1K1 b kq - 1 8 ; Italian Game ; games=42 ; white_score=0.5833
rnbq1rk1/ppp2pbp/5np1/4p3/2P1P3/2N1BN2/PP2BPPP/R2QK2R b KQ - 1 8 ; King's Indian Classical ; games=62 ; white_score=0.3952
r1bq1rk1/ppp2pbp/n2p1np1/4p3/2PPP3/2NQ1N2/PP2BPPP/R1B1K2R w KQ - 2 8 ; King's Indian Classical ; games=59 ; white_score=0.5254
rnbqr1k1/ppp2pbp/3p1np1/8/2PNP3/2N1B3/PPQ1BPPP/R3K2R b KQ - 2 9 ; King's Indian Classical ; games=56 ; white_score=0.4821
rnbq1rk1/1pp2pbp/3p1np1/p2Pp3/2P1P3/2N2N1P/PP2BPP1/R1BQK2R b KQ - 0 8 ; King's Indian Classical ; games=53 ; white_score=0.4245
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/P1N2N2/1P2BPPP/R1BQK2R b KQ - 0 7 ; King's Indian Classical ; games=53 ; white_score=0.5283
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/1RBQK2R b K - 1 7 ; King's Indian Classical ; games=50 ; white_score=0.5500
r1b1qrk1/ppp2pbp/n2p2p1/4p1B1/2PPP1n1/2NQ1N2/PP2BPPP/R3K2R w KQ - 6 10 ; King's Indian Classical ; games=50 ; white_score=0.5200
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2NQ1N2/PP2BPPP/R1B1K2R b KQ - 1 7 ; King's Indian Classical ; games=48 ; white_score=0.5208
r1bq1rk1/ppp2pbp/2np1np1/3Pp3/2P1P3/P1N2N2/1P2BPPP/R1BQK2R b KQ - 0 8 ; King's Indian Classical ; games=47 ; white_score=0.5532
rnbq1rk1/ppp2pbp/3p1np1/8/2PNP3/2N1B3/PP2BPPP/R2QK2R b KQ - 0 8 ; King's Indian Classical ; games=44 ; white_score=0.5000
rnbq1rk1/ppp2pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQK2R b KQ - 0 7 ; King's Indian Classical ; games=37 ; white_score=0.4189
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/P1P1P3/1P1N1PPP/R2QKBNR b KQkq - 0 6 ; London System ; games=58 ; white_score=0.4397
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/2P1P1B1/PP1N1PPP/R2QKBNR b KQkq - 1 6 ; London System ; games=56 ; white_score=0.4821
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/2P1P3/PP1NBPPP/R2QK1NR b KQkq - 1 6 ; London System ; games=56 ; white_score=0.5982
r1bq1rk1/pp3ppp/2nbpn2/1Bpp4/3P1B2/2P1P2N/PP1N1PPP/R2QK2R w KQ - 4 8 ; London System ; games=55 ; white_score=0.5455
r1b1k2r/pp3ppp/2nqpn2/2pp4/3P4/2P1P2P/PP1N1PP1/R2QKBNR w KQkq - 0 8 ; London System ; games=53 ; white_score=0.4151
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P4/P1P1P1B1/1P1N1PPP/R2QKBNR b KQkq - 2 7 ; London System ; games=52 ; white_score=0.5385
r1bq1rk1/pp2bppp/2n1pn2/2pp4/3P4/2PBP1B1/PP1NNPPP/R2QK2R b KQ - 5 8 ; London System ; games=49 ; white_score=0.5816
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P1B2/P1P1P3/1P1N1PPP/R2QKBNR w KQkq - 1 7 ; London System ; games=47 ; white_score=0.4574
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/2PBP3/PP1N1PPP/R2QK1NR b KQkq - 1 6 ; London System ; games=45 ; white_score=0.6444
r1bqk2r/pp3ppp/2nbpn2/1Bpp4/3P1B2/2P1P2N/PP1N1PPP/R2QK2R b KQkq - 3 7 ; London System ; games=44 ; white_score=0.4205
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/2P1P2P/PP1N1PP1/R2QKBNR b KQkq - 0 6 ; London System ; games=43 ; white_score=0.5349
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P1B2/2P1P2N/PP1N1PPP/R2QKB1R w KQkq - 2 7 ; London System ; games=43 ; white_score=0.5349
r1b2rk1/pp3ppp/2nqpn2/2pp4/3P4/2P1PN2/PP1NBPPP/R2QK2R w KQ - 2 9 ; London System ; games=42 ; white_score=0.3571
r1b1k2r/pp3ppp/2nqpn2/2pp4/3P4/2P1PN2/PP1NBPPP/R2QK2R b KQkq - 1 8 ; London System ; games=38 ; white_score=0.4342
rnbq1rk1/ppp2ppp/4pn2/8/1bBP4/2N1P2P/PP3PP1/R1BQK1NR b KQ - 0 7 ; Nimzo-Indian Defence ; games=61 ; white_score=0.5000
rnbq1rk1/ppp2ppp/4pn2/3p4/2PP4/P1PBP3/5PPP/R1BQK1NR b KQ - 0 7 ; Nimzo-Indian Defence ; games=54 ; white_score=0.5278
rnbq1rk1/p1p2ppp/1p3n2/3p4/1b1P4/2NBPN2/PP3PPP/R1BQ1RK1 b - - 1 8 ; Nimzo-Indian Defence ; games=54 ; white_score=0.6296
rnbq1rk1/pp3ppp/4pn2/2p5/1bBP4/2N1P2P/PP3PP1/R1BQK1NR w KQ - 0 8 ; Nimzo-Indian Defence ; games=53 ; white_score=0.4528
rnbq1rk1/ppp2ppp/5n2/3p4/1b1P4/2NBP3/PP2NPPP/R1BQK2R b KQ - 1 7 ; Nimzo-Indian Defence ; games=51 ; white_score=0.5294
rnbq1rk1/pp3ppp/4pn2/2p5/1bBP4/2N1P3/PPQ2PPP/R1B1K1NR w KQ - 0 8 ; Nimzo-Indian Defence ; games=50 ; white_score=0.5300
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/2NBP3/PP1B1PPP/R2QK1NR b KQ - 1 6 ; Nimzo-Indian Defence ; games=49 ; white_score=0.5000
rnbq1rk1/ppp2ppp/5n2/3p4/1b1P4/2NBP3/PP3PPP/R1BQK1NR w KQ - 0 7 ; Nimzo-Indian Defence ; games=44 ; white_score=0.5909
rnbq1rk1/pp3ppp/4pn2/b1p5/2BP4/P1N1P2P/1P3PP1/R1BQK1NR w KQ - 1 9 ; Nimzo-Indian Defence ; games=43 ; white_score=0.4651
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/2NBPN2/PP3PPP/R1BQK2R b KQ - 1 6 ; Nimzo-Indian Defence ; games=42 ; white_score=0.6429
rnbq1rk1/ppp2ppp/3b1n2/3p4/3P4/2NBP3/PP2NPPP/R1BQ1RK1 b - - 3 8 ; Nimzo-Indian Defence ; games=35 ; white_score=0.5857
rnbqkb1r/ppp2ppp/8/3p4/3Pn3/P4N2/1PP2PPP/RNBQKB1R b KQkq - 0 6 ; Petroff Defence ; games=67 ; white_score=0.5373
rnbqkb1r/pp3ppp/2p5/1B1p4/3Pn3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 7 ; Petroff Defence ; games=59 ; white_score=0.4746
rnbqk2r/ppp2ppp/3b4/3p4/3Pn3/2P2N1P/PP2BPP1/RNBQK2R b KQkq - 2 8 ; Petroff Defence ; games=56 ; white_score=0.3929
rnbqk2r/pp3ppp/2pb4/3p4/2PPn3/5N2/PP2BPPP/RNBQ1RK1 b kq - 1 8 ; Petroff Defence ; games=54 ; white_score=0.4907
rnbqkb1r/ppp2ppp/8/3p4/3Pn3/5N2/PPP1BPPP/RNBQK2R b KQkq - 1 6 ; Petroff Defence ; games=53 ; white_score=0.5566
rnbqkb1r/pp3ppp/2p5/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 7 ; Petroff Defence ; games=51 ; white_score=0.4706
rnbq1rk1/ppp2ppp/3b4/3p4/3Pn3/3BBN2/PPP2PPP/RN1Q1RK1 b - - 5 8 ; Petroff Defence ; games=50 ; white_score=0.4800
rnbqk2r/ppp2ppp/3b4/3p4/3Pn3/2P2N1P/PP3PP1/RNBQKB1R w KQkq - 1 8 ; Petroff Defence ; games=48 ; white_score=0.4688
rnbqk2r/ppp2ppp/3b4/3p4/3Pn3/2PB1N1P/PP3PP1/RNBQK2R b KQkq - 2 8 ; Petroff Defence ; games=46 ; white_score=0.5652
rnbqk2r/ppp2ppp/3b4/8/3Pp3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 8 ; Petroff Defence ; games=46 ; white_score=0.4565
rnbqkb1r/ppp2ppp/8/3p4/3Pn3/4BN2/PPP2PPP/RN1QKB1R b KQkq - 1 6 ; Petroff Defence ; games=45 ; white_score=0.5222
rnbqk2r/ppp2ppp/8/3p4/1b1Pn3/2P2N1P/PP3PP1/RNBQKB1R b KQkq - 0 7 ; Petroff Defence ; games=42 ; white_score=0.5119
rnbqkb1r/ppp2ppp/8/3p4/3Pn3/5N2/PPPN1PPP/R1BQKB1R b KQkq - 1 6 ; Petroff Defence ; games=41 ; white_score=0.5732
rnbqk2r/ppp2ppp/3b4/3p4/2PPn3/5N2/PP2BPPP/RNBQK2R b KQkq - 0 7 ; Petroff Defence ; games=41 ; white_score=0.5488
rnbqk2r/ppp2ppp/3b4/3p4/3Pn3/3B1N2/PPPN1PPP/R1BQK2R b KQkq - 3 7 ; Petroff Defence ; games=39 ; white_score=0.5769
rnbq1rk1/ppp1ppbp/3p1np1/8/3PPB2/2N2N2/PPP1BPPP/R2QK2R b KQ - 5 6 ; Pirc Defence ; games=67 ; white_score=0.4552
r1bq1rk1/ppp2pbp/2np1np1/P2Pp3/4P3/2N2N2/1PP1BPPP/R1BQK2R b KQ - 0 8 ; Pirc Defence ; games=58 ; white_score=0.4224
r2q1rk1/pppnppbp/3p1npB/8/3PP1b1/2N2N2/PPPQBPPP/R3K2R b KQ - 9 8 ; Pirc Defence ; games=52 ; white_score=0.5769
rnbq1rk1/ppp1ppbp/3p1np1/6B1/3PP3/2N2N2/PPP1BPPP/R2QK2R b KQ - 5 6 ; Pirc Defence ; games=49 ; white_score=0.4388
rnbq1rk1/ppp1ppbp/3p1np1/8/P2PP3/2N2N2/1PP1BPPP/R1BQK2R b KQ - 0 6 ; Pirc Defence ; games=49 ; white_score=0.5306
rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2N2N2/PPP1BPPP/R1BQ1RK1 b - - 5 6 ; Pirc Defence ; games=39 ; white_score=0.5128
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/2N1PN2/PP3PPP/R1BQ1RK1 b kq - 1 7 ; Queen's Gambit Accepted ; games=57 ; white_score=0.5965
